,title,release_date,genre,platforms,developer,esrb_rating,ESRBs,metascore,userscore,critic_reviews,user_reviews,num_players,summary
251,Wave Race 64,"Nov  1, 1996","Driving, Racing, Snow / Water",Dreamcast,Nintendo,E,,92,8.3,13,113.0,1-2 Players,"Wave Race 64 is sure to provide some of the most exciting racing you've ever experienced. Feel the pounding and crashing of the waves as you accelerate into straight-aways, whip around the marker buoys and go airborne on the jump ramps. Don't race alone - challenge a friend! Take control in three different modes of play - Championship, Time Trials and Stunt Mode. Nine challenging courses set in exotic locales - race conditions change and the wave action responds to the way both you and your opponents race!"
252,Divinity: Original Sin II - Definitive Edition,"Aug 31, 2018","Role-Playing, Western-Style",Dreamcast,Larian Studios Games,M,,92,7.9,46,479.0, Online Multiplayer Up to 4 Players,"Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void."
253,Galactic Civilizations II: Twilight of the Arnor,"Apr 30, 2008","Strategy, Turn-Based, Sci-Fi, Sci-Fi, 4X",Dreamcast,Stardock,,,92,8.3,19,140.0,1 Player,"The galaxy is being consumed by the fires of war as we enter the final act of the Dread Lord saga. Galactic Civilizations II: Twilight of the Arnor is the second  expansion pack to the award-winning PC strategy game, Galactic Civilizations II. Galactic Civilizations II: Twilight of the Arnor expands the gameplay of Galactic Civilizations in all new ways. New campaign detailing the final chapter in the Dread Lords wars. The Terror Star arrives, capable of destroying any star. Unique technology trees for all 12 civilizations. Unique planetary improvements for each civilization. New 3D engine powered map editor. New Scenario Editor for creating highly detailed custom games. New Campaign Editor for players who want to create their own custom epic campaigns for themselves or to share with others. New Metaverse Tournaments: Specific maps & scenarios recorded to the Metaverse with prizes for top players. [Stardock]"
254,Super Smash Bros. for Wii U,"Nov 21, 2014","Action, Fighting, Fighting, 3D, 2D, 2D, 3D",Dreamcast,Bandai Namco Games,E10+,,92,8.9,77,2077.0,Up to 4 Players Up to 8 Players,Duke it out with your favorite Nintendo characters in Super Smash Bros. for the Nintendo Wii U.
255,Guitar Hero II,"Nov  7, 2006","Miscellaneous, Rhythm, Music",Dreamcast,Harmonix Music Systems,T,Lyrics,92,8.4,69,162.0,1-2 Players,"Rock the Rhythm, Lead, and Bass Guitar tracks in the follow-up sequel to ""Guitar Hero."" Form your guitar duo and shred riffs cooperatively or go head to head in all new multiplayer modes. With over 55 tracks to rock out to, you'll go from Guitar Hero to Guitar god in one press of a fret button. Choose from multiple rock characters and jam at concert venues that grow in size as your rock career progresses. You'll start your rock career playing small clubs and bars, but if you play well you'll work your way up to stadiums and arenas. Guitar Hero II takes the guitar rock experience to new volumes by allowing players to play 3 different guitar tracks: Rhythm, Bass, and Lead. Guitar Hero II introduces all new multiplayer modes like: cooperative, pro-face off, and face off, letting 2 Guitar Heroes conduct their own symphonies of destruction. Shred School: Guitar Hero II features an all new practice mode, allowing Guitar Zeroes to become Guitar Heroes with enough practice. [RedOctane]"
256,Final Fantasy VII,"Sep  3, 1997","Role-Playing, Console-style RPG",Dreamcast,SquareSoft,T,,92,8.9,20,2412.0,1 Player,"An epic adventure across 3 cd-roms. What begins as a rebellion against an evil corporation becomes much more. And what erupts goes beyond imagination. With vivid landscapes, lush 3D animation and environments, Square Soft's multi-million dollar masterpiece is like nothing ever seen before. "
257,Rock Band,"Nov 20, 2007","Action, Miscellaneous, Rhythm, Music, Music",Dreamcast,Harmonix Music Systems,T,Lyrics Mild Suggestive Themes,92,8.1,35,127.0,"1-4 Players, 4 Players Online","Play together in your living room or across the world! Rock Band offers deep online functionality, allowing players to rock together whether they’re in Rhode Island or Reykjavik. Major record labels and leading music publishers have signed on to provide unrivaled access to master recordings and legendary rock artists – from punk, metal and alternative to classic and southern rock. Rock Band ships with 45 fearsome tracks from artists like Bon Jovi and The Ramones to Black Sabbath and Stone Temple Pilots. Full support for downloadable content delivers never-ending challenges. New content will be available every week. Download full albums for play with Rock Band including the iconic rock album 'Who's Next' by The Who. Metallica has signed on to offer several tracks as digitally-distributed game levels for Rock Band as well as ""Enter Sandman"" for the Rock Band ship disc. Create your own rock avatar! Mold a unique rocker using Rock Band's character creator. Chose from gender, body shape, face, hair, clothes, tattoos and signature moves. Don't forget to pick your specialized rockin’ instrument. Drumming in the spotlight! Showcase a real drum solo with Rock Band's freestyle drum fill windows featured in each song. Break out your own rhythm and style as anything goes! Vocalists can bring the crowd to their feet during Rock Band’s freestyle vocal fill windows. Ad-lib your own words or shout to the crowd to raise the rock intensity of the performance. Band mates can fail out of a song for poor performance, but the band still plays on. Rescue your failing mate by busting out signature moves and blistering solos to wow the crowd with showmanship. Earn bonus points for your band during Rock Band’s Unison Phrase opportunities if everyone plays perfectly. [Harmonix]"
258,Chrono Trigger,"Nov 25, 2008","Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",Dreamcast,TOSE,E10+,Animated Blood Mild Fantasy Violence Suggestive Themes Use of Alcohol,92,9.1,57,753.0,"1 Player, 2 Players Online No Online Multiplayer","[Metacritic's 2008 DS Game of the Year] When a newly developed teleportation device malfunctions at the Millennial Fair, young Crono must travel through time to rescue his unfortunate companion from an intricate web of past and present perils. The swashbuckling adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future. Features an engaging and unparalleled storyline, leading to the discovery of multiple epic conclusions to a journey that transcends time. An inspiring musical score created by Yasunori Mitsuda. Intriguing battle system made possible by the unique combination of the Active Time Battle system and Tech skills. Famed character designer Akira Toriyama lends his signature art style to create the vibrant world that has captivated gamers around the world. Taking advantage of the Nintendo DS hardware, CHRONO TRIGGER makes its way onto the portable platform with all-new dual screen presentation and Touch-Screen functionality. A brand new dungeon and a Wireless Play mode adds exciting new dimensions to this timeless classic. [Square Enix]"
259,Bayonetta 2,"Feb 16, 2018","Action Adventure, Linear",Dreamcast,"Nintendo, PlatinumGames",M,,92,8.5,31,508.0,1 Player,"In this climatic sequel to the critically acclaimed Bayonetta action game, players will be on the edge of their seats from start to finish. Brimming with epic, gorgeous cut scenes and battles that are more exhilarating than ever, this game never lets up on the action. Fight on top of a jet as it soars through a downtown city. Duke it out against a giant angel, who bears a whip for an arm, on top of a speeding train. And take to the skies in a fight against a demonic monster while ascending to the top of a skyscraper."
260,Final Fantasy XIV: Endwalker,"Dec  7, 2021","Role-Playing, Massively Multiplayer",Dreamcast,Square Enix,,,92,9.4,28,1393.0,1 Player,"Endwalker is the fourth expansion pack for FINAL FANTASY XIV Online. Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon."
261,Journey,"Mar 13, 2012","Action, Adventure, General, Platformer, Platformer, 3D, 3D",Dreamcast,ThatGameCompany,E,Mild Fantasy Violence,92,8.8,78,1558.0,2 Players No Online Multiplayer,"Enter the world of Journey, the third game from indie developers thatgamecompany (creators of ""flOw"" and ""Flower""). Journey is an interactive parable, an anonymous online adventure to experience a person’s life passage and their intersections with other’s. You wake alone and surrounded by miles of burning, sprawling desert, and soon discover the looming mountaintop which is your goal. Faced with rolling sand dunes, age-old ruins, caves and howling winds, your passage will not be an easy one. The goal is to get to the mountaintop, but the experience is discovering who you are, what this place is, and what is your purpose. Travel and explore this ancient, mysterious world alone, or with a stranger you meet along the way. Soar above ruins and glide across sands as you discover the secrets of a forgotten civilization. [thatgamecompany]"
262,Xenoblade Chronicles,"Apr  6, 2012","Role-Playing, Action RPG, Console-style RPG, Action RPG",Dreamcast,Monolith Soft,T,,92,9.1,59,1411.0,1 Player,"Xenoblade Chronicles throws you into a universe bursting with imagination. Take hold of an ancient sword that offers glimpses of the future, customise your characters extensively and discover a world where your relationships with others matter."
263,Conker's Bad Fur Day,"Mar  4, 2001","Action, Platformer, 3D",Dreamcast,Rare Ltd.,M,Animated Violence Mature Sexual Themes Strong Language,92,8.9,19,395.0,1 Player,"The day after his 21st birthday bash, Conker's sporting the worst hangover ever, and he just can't seem to find his way home. Prepare to stagger through randy, raunchy, raucous scenarios crammed full of bad manners, twisted humor, and graphic bodily functions. Unless you're a fan of violence, foul language, and racy innuendo, you'd best steer clear of this one."
264,Medal of Honor,"Oct 31, 1999","Action, Shooter, First-Person, Historic",Dreamcast,Dreamworks Interactive,T,Animated Violence,92,8.7,17,184.0,1-2 Players,"Tomorrow is D-Day. Tonight you land behind enemy lines. The tide of the way is in your hands. You are an elite Special Forces agent sent to execute covert operations, search and rescue missions, and commando raids. Fight to win the medal of Honor in the only game that lets you take on Nazis in WWII."
265,PaRappa the Rapper,"Oct 31, 1997","Miscellaneous, Rhythm, Music",Dreamcast,NanaOn-Sha,K-A,,92,7.6,15,93.0,1 Player,Help Parappa rap with the best of the master rappers and straight into Sunny's heart. Guaranteed you'll be singin' and dancin' along with Parappa and his pals to the most fun of mixes.
266,Rock Band 2,"Sep 14, 2008","Action, Miscellaneous, Rhythm, Music, Music",Dreamcast,Harmonix Music Systems,T,Lyrics Suggestive Themes,92,8.2,69,167.0,"1-4 Players, 4 Players Online","Rock Band 2 builds upon its foundation as the first music game to introduce co-operative band gameplay, multiple instruments, a robust online multiplayer experience, an unrivaled offering of downloadable content and raises the bar by delivering an entirely new level of depth, connectivity, authenticity and features including: Backwards compatibility with Rock Band downloadable music content. All previously purchased tracks immediately load into your Rock Band 2 song list. No need to re-purchase or re-download. The biggest and most diverse soundtrack ever featuring some of rock's most prolific acts, comprised entirely of master recordings. Major new and dynamic online modes that connect the entire Rock Band community in more ways than ever before both locally and globally. More variety of instrument choices than ever before with new and improved drum and guitar peripherals, enhanced functionality and innovative new designs - all fully compatible with the original Rock Band instruments. [MTV]"
267,Mario Kart 8 Deluxe,"Apr 28, 2017","Other, Racing, Arcade, Automobile",Dreamcast,Nintendo,E,,92,8.6,95,2373.0,Up to 12 Players,"Race and battle your friends in the definitive version of Mario Kart 8. Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr. Race your friends in the definitive version of Mario Kart 8, only on Nintendo Switch. Race as every character on every track from the Wii U version, including DLC characters and tracks. Pop some balloons in the revamped Battle mode, complete with Balloon Battle and Bob-omb Blast. Battle on new courses, like Urchin Underpass and Battle Stadium, or returning ones, such as GCN Luigi's Mansion and SNES Battle Course 1. Inkling Girl & Inkling Boy from Splatoon, King Boo, Dry Bones, and Bowser Jr. join the roster. Players can choose a new Smart Steering feature which makes driving and staying on the track easy for novice players and kids even at 200cc. Three new vehicles have been added, two are even inspired by Splatoon. Carry two items at the same time. Returning items include Boo, the item stealing ghost, and the Feather, which gives you a high jump in battle mode. Play your friends in local wireless multiplayer with up to 8 players. Drive through in 1080p HD quality in TV mode. Play on the go with handheld mode and play anytime, anywhere."
268,The ICO & Shadow of the Colossus Collection,"Sep 27, 2011","Miscellaneous, Action Adventure, Fantasy, Compilation, Compilation",Dreamcast,Bluepoint Games,T,,92,8.7,58,677.0,1 Player,This collection provides HD and 3D updates for PS2 classics Ico and Shadow of the Colossus.
269,Rayman Origins,"Nov 15, 2011","Action, Action Adventure, Platformer, Fantasy, Platformer, 2D, 2D",Dreamcast,UBlart Montpellier,E10+,Comic Mischief Mild Cartoon Violence Suggestive Themes,92,8.5,13,195.0,1-4 Players,"Rayman's new adventure is a two-dimensional cooperative platformer with a colorful, whimsical art style."
270,Metroid Prime 2: Echoes,"Nov 15, 2004","Action, Shooter, First-Person, Sci-Fi",Dreamcast,Retro Studios,T,Animated Blood Violence,92,8.9,60,441.0,1-4 Players,"The sequel to Metroid Prime puts you in the role of bounty hunter Samus Aran once again. Your mission is to locate federation troopers who are missing on Aether--a planet torn into light and dark domains. To help you travel through the depths of light and dark, you'll have all-new beam weapons, a screw attack, and power-ups. Eliminate your enemies, solve puzzles, and open doors in an effort to restore peace to Aether. Metroid Prime 2: Echoes also features competitive multiplayer modes supporting up to four players. "
271,Out of the Park Baseball 17,"Mar 22, 2016","Sports, Team, Baseball, Sim",Dreamcast,Out Of The Park Developments,,,92,3.3,8,239.0,1 Player,"Step into the shoes of a team owner, GM, and/or field manager to own the future or rewrite the past of your favorite real-world club. Start a new career with 2016 Opening Day rosters of the real major or minor leagues, or span through 150 years of history and run any club from the past! Perform drafts, trades, scouting, waivers, team finances and personnel. Negotiate player contracts. Dive into the more hands-on management and set your team's lineups, pitching staffs, and in-game strategy. You can oversee your league at a high level, or play out each game, managing play by play or even pitch by pitch!"
272,Metroid Fusion,"Nov 17, 2002","Action Adventure, Sci-Fi",Dreamcast,Nintendo,E,Violence,92,9.0,44,375.0,1 Player,"While lending mission support on planet SR388, interstellar bounty hunter Samus Aran is attacked by an X parasite, an organism with the ability to mimic the abilities of any creature it infects. Near death, Samus is saved by a vaccin made from the DNA of the last Metroid--the X parasite's only natural predator. When the X spread to a research station in orbit around SR388, a weakened Samurs is forced to exterminate them all...or die trying."
273,The Witcher 3: Wild Hunt - Blood and Wine,"May 30, 2016","Role-Playing, Action RPG",Dreamcast,CD Projekt Red Studio,M,,92,9.1,50,3608.0,1 Player,"This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint."
274,Final Fantasy VI Advance,"Feb  5, 2007","Role-Playing, Console-style RPG",Dreamcast,TOSE,E10+,Mild Fantasy Violence Mild Suggestive Themes,92,8.7,25,454.0,1-2 Players,"This title are more than a simple port of the SNES classic — every aspect of the games has been reviewed and enhanced. Additionally, a host of brand-new elements has been seamlessly merged with the original game, providing unexpected surprises for longtime fans. With new dungeons, new job classes, and other exciting features, both old-school players and newcomers can enjoy this genre-defining FINAL FANTASY title in a portable format."
275,Rayman Legends,"Sep  3, 2013","Action, Platformer, Platformer, 2D, 2D",Dreamcast,Ubisoft Montpellier,E10+,Cartoon Violence Comic Mischief Mild Cartoon Violence,92,8.7,35,559.0,1 Player,"Rayman, Globox, and the Teensies are off wandering through an enchanted forest when they discover a mysterious tent filled with a series of captivating paintings. As they look more closely, they notice each painting seems to tell the story of a mythical world. While focusing on a painting that shows a medieval land, they are suddenly sucked into the painting, entering the world, and the adventure begins. The gang must run, jump and fight their way through each world to save the day and discover the secrets of every legendary painting. Rayman Legends takes full advantage of the Wii U and its new GamePad’s capabilities. Use the touch screen to take out enemies, manipulate platforms, cut ropes to clear a path and much more. With the gyroscope technology, you can move rotating platform and there are many more surprises to come."
276,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,"Dec  4, 2020","Role-Playing, Japanese-Style",Dreamcast,Square Enix,T,,92,8.3,16,132.0,1 Player,"The Definitive Edition includes all the content from the original release of the acclaimed DRAGON QUEST XI, and adds extra character-specific scenarios, the choice of playing with the original soundtrack or a grand orchestral version of the music, the ability to switch between 2D and 3D graphic modes, a Japanese voice-acting option, and much more. "
277,Tiger Woods PGA Tour 2003,"Nov  5, 2002","Sports, Traditional, Individual, Golf, Sim, Sim",Dreamcast,Headgate,E,,92,5.0,14,39.0,1-8 Players,"New course lineup: Twelve detailed courses include Pebble Beach Golf Links, TPC of Scottsdale and Torrey Pines South. New effects: Feel the sun, the wind, the fog and the grass as you walk 18. The most PGA TOUR pros: Play as or against Tiger Woods, Ty Tryon, Vijay Singh, Brad Faxon and many others. TrueSwing technology: Take full control over your swing, from straight drives to hooks and draws. Career mode: Purchase new equipment and lessons, hone your skills, and make your way to the top of the career rankings. [EA Sports]"
278,Madden NFL 2005,"Aug  9, 2004","Sports, Traditional, Football, Sim",Dreamcast,EA Tiburon,E,,91,7.3,39,32.0,"1-4 Players, 2 Players Online","Madden NFL 2005 introduces the Hit Stick, a new feature that lets players turn a game around with a crucial tackle. Along with all-new defensive preplay controls and defensive artificial intelligence enhancements, the defense now has a diverse arsenal of weapons available. Also, the depth of Franchise mode grows with the addition of Storyline Central, a weekly radio talk show that discusses current stories regarding your team and the league. With even more Franchise mode additions, hundreds of new animations, and the new Create-a-Fan feature, Madden NFL 2005 takes the series to the next level."
279,Super Street Fighter IV,"Apr 27, 2010","Action, Fighting, Fighting, 3D, 2D, 3D",Dreamcast,Capcom,T,Alcohol Reference Mild Language Suggestive Themes Violence,91,7.7,55,134.0,Up to 8 Players,"The follow-up to Street Fighter IV further redefines the fighting game genre with classic 2D Street Fighter fighting action, a host of new and returning characters, more advanced online gameplay, new ultra combos and much more. Super Street Fighter IV features the full roster of 25 characters from Street Fighter IV such as Ryu, Ken, Crimson Viper, Abel, El Fuerte, and Rufus, while adding about eight characters new to the world of Street Fighter IV. The impressive new roster includes classic combatants from previous Street Fighter games like T. Hawk as well as all-new characters such as the mysterious and deadly female fighter, Juri. Super Street Fighter IV adds new Ultra Combos and advancements to the state of the art online matchmaking and online gameplay introduced in Street Fighter IV with numerous additional features. Super Street Fighter IV takes many of the groundbreaking features introduced in Street Fighter IV and refines everything to deliver the ultimate vision of Street Fighter to fans the world over. [Capcom]"
280,Pac-Man Championship Edition DX,"Nov 23, 2010","Adventure, General, Action, General, General, Arcade",Dreamcast,Namco Bandai Games,E,,91,7.9,25,94.0,1 Player,"PAC-MAN Championship Edition DX continues to uphold NAMCO BANDAI's tradition of enhancing a classic franchise for today's gamer. Building upon PAC-MAN Championship Edition’s original six courses, the new game features more than 100 varied and mind-boggling mazes to navigate. Several new modes will also be available to test a player's pellet-munching aptitude. In Time Attack Mode, players will vie for the quickest clear time. Fulfill a series of objectives in Mission Mode or compete to devour the most number of ghosts gobbled in Ghost Mode. "
281,Rock Band 2,"Oct 19, 2008","Action, Miscellaneous, Rhythm, Music, Music",Dreamcast,Harmonix Music Systems,T,Lyrics Suggestive Themes,91,8.0,24,100.0,"1-4 Players, 4 Players Online","Rock Band 2 builds upon its foundation as the first music game to introduce co-operative band gameplay, multiple instruments, a robust online multiplayer experience, an unrivaled offering of downloadable content and raises the bar by delivering an entirely new level of depth, connectivity, authenticity and features including: Backwards compatibility with Rock Band downloadable music content. All previously purchased tracks immediately load into your Rock Band 2 song list. No need to re-purchase or re-download. The biggest and most diverse soundtrack ever featuring some of rock's most prolific acts, comprised entirely of master recordings. Major new and dynamic online modes that connect the entire Rock Band community in more ways than ever before both locally and globally. More variety of instrument choices than ever before with new and improved drum and guitar peripherals, enhanced functionality and innovative new designs - all fully compatible with the original Rock Band instruments. [MTV]"
282,Dark Souls II,"Mar 11, 2014","Action RPG, Role-Playing, Action RPG",Dreamcast,From Software,T,,91,8.0,30,1201.0,Up to 4 Players,"Prepare to die... Again. Dare yourself to engage against intense gameplay in a vast world powered by a new engine. Immerse yourself into mind-bending environments filled with new twisted monsters and deadly bosses. A vast array of threats will prey on human senses & phobias - auditory hallucinations, vertigo, acrophobia, etc. More intricate customization options provide weapons and armor tailoring to player style. [Namco Bandai Games]"
283,Dishonored,"Oct  8, 2012","Action Adventure, Modern, General, Modern",Dreamcast,Arkane Studios,M,Blood and Gore Intense Violence Sexual Themes Strong Language,91,8.5,29,4835.0,1 Player,"Approach each assassination with your own unique style. Use shadow and sound to your advantage to traverse silently through levels unseen by enemies, or attack foes head-on as they react to your aggression. The malleable combat system allows you to creatively synthesize your abilities, supernatural powers and gadgets as you negotiate your way through the levels and dispatch your targets. Improvise and adapt to define your modus operandi."
284,ESPN NFL Football,"Sep  3, 2003","Sports, Traditional, Football, Sim",Dreamcast,Visual Concepts,E,,91,8.5,20,25.0,1-16 Players,"ESPN NFL Football brings the complete NFL experience. Whether it's by making an opponent lose his shorts from a stop-and-go juke, by scraping your toes down as you make an acrobatic first-down catch along the sideline, or by piling on top of a swarming gang tackle on fourth and short -- you will truly feel everything that makes the National Football League so intense. Don't look. Don't listen. Feel."
285,Medal of Honor: Allied Assault,"Jan 20, 2002","Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",Dreamcast,2015,T,Violence,91,8.6,34,569.0,1 Player,"As Lt. Mike Powell, member of the famed 1st Ranger Battalion, you'll battle through over 20 levels based on historical military campaigns of World War II. Fire period weapons and command authentic war vehicles as you silence the gun batteries at Port Arzew, survive the Omaha Beach landing, and more. [Electronic Arts]"
286,Myth: The Fallen Lords,"Oct 31, 1997","Strategy, Real-Time, Fantasy, General, Fantasy",Dreamcast,"Bungie Software, Bungie",M,Animated Blood & Gore Animated Blood and Gore Animated Violence,91,8.5,9,100.0,1-16 Players,"Myth is arguably the first real-time strategy game to put the player in a true 3D landscape, with an emphasis on tactical battlefield action rather than base construction. Myth also happens to be one of Bungie's most successful pre-Halo releases, and shows off the company's range and ability in genres outside of first-person shooters. A single player mode features an engrossing and enjoyable plot, with you battling the evil and eponymous Fallen Lords, their evil leader, Balor and all manner of undead creatures, but Myth's multiplayer is where it really stands out. Bungie.net's game-matching technology has been much-emulated since, and at Myth's release, was something truly special. Multiple game modes including King of the Hill, Steal the Bacon and even co-op added huge variety to what was an outstanding and standard-setting game - and it still is. If ever an older game deserved another visit, it's Myth, with a huge, loyal and highly motivated following. [Bungie]"
287,LittleBigPlanet 2,"Jan 18, 2011","Action, Platformer, Platformer, 3D, 2D, 3D",Dreamcast,Media Molecule,E,Comic Mischief Drug and Alcohol Reference Mild Cartoon Violence,91,8.6,86,793.0,"1-4 Players, 4 Players Online",Media Molecule and Sony Europe are already working on a follow-up to their critically acclaimed platformer. 
288,INSIDE,"Jun 28, 2018","Action, Platformer, 2D",Dreamcast,PLAYDEAD,M,,91,8.6,30,261.0,1 Player,"Hunted and alone, a boy finds himself drawn into the center of a dark project."
289,Microsoft Flight Simulator,"Aug 18, 2020","Simulation, Flight, Civilian",Dreamcast,Asobo Studio,E,,91,7.1,66,1331.0,Online Multiplayer,"From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world. "
290,Guitar Hero,"Nov  7, 2005","Miscellaneous, Rhythm, Music",Dreamcast,Harmonix Music Systems,T,Mild Lyrics,91,8.5,65,215.0,1-2 Players,"Strap on your Guitar Hero SG controller, plug-in, and CRANK IT UP. Guitar Hero creates all the sensations of being a rock star, as you rock out to 30 of the greatest rock anthems of all time and more. Soundtrack includes songs as made famous by such legendary artists as the Red Hot Chili Peppers, David Bowie, Boston, Sum 41, Ozzy Osbourne, Audioslave, White Zombie, Franz Ferdinand, and The Ramones. So kiss that air guitar goodbye and get ready to rock. Features over 30 of the greatest rock songs of all-time. 4 difficulty levels (Easy, Medium, Hard, and Expert). 6 venues that range from basement parties to sold out stadiums. 8 different characters that each offer their own look and unique style of playing, from metal head to classic rocker. Two-player mode that offers tons of multiplayer fun. [Red Octane]"
291,World of Warcraft: Wrath of the Lich King,"Nov 13, 2008","Role-Playing, Miscellaneous, Massively Multiplayer Online, Massively Multiplayer, Board / Card Game, Fantasy, Fantasy",Dreamcast,Blizzard Entertainment,T,Blood and Gore Suggestive Themes Use of Alcohol Violence,91,7.9,47,1417.0,Massively Multiplayer,"Players last visited Northrend in ""Warcraft III: The Frozen Throne,"" when Arthas Menethil fused with the spirit of Ner’zhul to become the Lich King, one of the most powerful beings in the Warcraft universe. He now broods atop the Frozen Throne deep in Icecrown Citadel, clutching the rune blade Frostmourne and marshaling the undead armies of the Scourge. In Wrath of the Lich King, the forces of the Alliance and the Horde venture into battle against the Scourge amid Northrend’s howling winds and fields of jagged ice. Wrath of the Lich King adds a rich variety of content to an already massive game. New features in the game’s second expansion include: Death Knight Hero Class: Create a high-level Death Knight character -- the game’s first hero class -- once certain challenges have been met. Increased Level Cap: Advance to level 80 and gain potent new talents and abilities along the way. Northrend: Explore the harsh new continent of Northrend, packed with new zones, quests, dungeons, monsters, and items -- and do battle with the undead armies of the Lich King. ""Inscription"" Profession: Learn this exciting new profession and gain unique ways to permanently enhance spells and abilities in the game. Siege Weapons and Destructible Buildings: Take the battle to another level with new player-vs.-player game mechanics and new battlefields to wage war on. New Character Customization: Change how characters look and express themselves, with different hairstyles and dance animations. [Blizzard Entertainment]"
292,Rock Band 3,"Oct 26, 2010","Action, Miscellaneous, Rhythm, Music, Music",Dreamcast,Backbone Entertainment,T,,91,6.8,10,44.0,1 Player,Rock Band returns with the third iteration of the popular music game featuring new songs and instruments.
293,Metroid Prime Trilogy,"Aug 24, 2009","Action, Miscellaneous, Shooter, Compilation, Compilation, First-Person, Sci-Fi",Dreamcast,Retro Studios,T,Animated Blood Violence,91,9.0,48,454.0,1 Player,"Metroid Prime 3: Corruption set a new standard for first-person motion controls in video games. Now it’s bringing those controls to the rest of the celebrated series, allowing players to experience the entire Metroid Prime story arc with the precision of the Wii Remote. Metroid Prime Trilogy, is a three-game collection for the Wii console that bundles all three landmark Metroid Prime games onto one disc and revamps the first two installments with intuitive Wii Remote controls, wide-screen presentation and other enhancements. Each game maintains its original storyline and settings, but now Metroid Prime and Metroid Prime 2: Echoes let players use their Wii Remote to aim with precision as heroine Samus Aran. Based on the breakthrough control system that debuted in Metroid Prime 3: Corruption, these new Wii controls bring an entirely new level of immersion and freedom to these milestone games. Players can access the game they want from a unified main menu that ties together all three adventures. Through a new unlockables system, players can gain access to in-game rewards such as music and artwork by accomplishing objectives across all three games. [Nintendo]"
294,Overwatch,"May 23, 2016","General, Action, Shooter, First-Person, Tactical",Dreamcast,Blizzard Entertainment,T,,91,6.4,64,6288.0,Up to 12 Players,"Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers, mercenaries, scientists, adventurers, and oddities against each other in an epic, globe-spanning conflict."
295,F1 Challenge '99-'02,"Jun 24, 2003","Driving, Racing, Simulation, Formula One, Formula One, Automobile",Dreamcast,Electronic Arts,E,,91,7.6,8,82.0,1-8 Players,"Cutting-edge technology brings you the most accurate representation of Formula One to date. High-resolution car models include details right down to the very last shut line. Circuits include real life structures, helicopters, airplanes, panoramic skies, animated grid girls, motion captured pit crews, and even bumps in the track surface as they exist in reality. The glossy team-themed user interface puts you in the game and tracks your performance as a real life driver competing against the likes of world champion drives such as Damon Hill, Jacques Villeneuve, Mika Hakkinen, and Michael Schumacher. [Electronic Arts]"
296,Tony Hawk's Pro Skater 4,"Oct 23, 2002","Sports, Alternative, Skateboarding",Dreamcast,Neversoft Entertainment,T,Blood Comic Mischief Mild Lyrics Suggestive Themes,91,8.2,19,32.0,1-8 Players,"Drop into the ultimate challenge.  In the next chapter in the Tony Hawk series, pros challenge you to make your mark in huge free-roaming levels, taking on 190 progressively harder goals with no time limits to hold you back.  Decide when you're ready to take on your Pro Challenge and move into the pro ranks, where it's a whole new game.  Build your skills, perform all-new tricks, play up to eight players online, and show that you've got what it takes to go Pro.  "
297,Madden NFL 2001,"Oct 23, 2000","Sports, Traditional, Football, Sim",Dreamcast,EA Sports,E,,91,7.5,25,10.0,1-8 Players,"EA Sports steps up to the challenge of Sega's ""NFL2k1"" with mind-blowing graphics and innovative ""Madden Cards"" -- Upper Deck creations purchased with tokens earned by completing in-game challenges which can be used as power-ups during the game.  Match up all current NFL teams as well as great teams from the past in Season, Franchise, or Practice modes."
